index,ID,ACTIVITYNAME,ACTIVITYID
0,1,BOATING,6
1,1,CAMPING,9
2,1,FISHING,11
3,1,HIKING,14
4,1,HUNTING,16
5,1,PICKNICKING,20
6,1,RECREATIONAL VEHICLES,23
7,1,WATER SPORTS,25
8,1,WILDLIFE VIEWING,26
9,1,WILDERNESS,28
10,2,BOATING,6
11,2,CAMPING,9
12,2,FISHING,11
13,2,HUNTING,16
14,2,PICKNICKING,20
15,2,WATER SPORTS,25
16,4,HIKING,14
17,4,HORSEBACK RIDING,15
18,4,PICKNICKING,20
19,4,RECREATIONAL VEHICLES,23
20,4,OTHER RECREATION CONCESSION SITE,38
21,5,BOATING,6
22,5,CAMPING,9
23,5,FISHING,11
24,5,HUNTING,16
25,5,PICKNICKING,20
26,6,BIKING,5
27,6,BOATING,6
28,6,HISTORIC & CULTURAL SITE,8
29,6,CAMPING,9
30,6,FISHING,11
31,6,HIKING,14
32,6,OFF HIGHWAY VEHICLE,18
33,6,PICKNICKING,20
34,6,RECREATIONAL VEHICLES,23
35,6,VISITOR CENTER,24
36,6,WATER SPORTS,25
37,6,WILDLIFE VIEWING,26
38,6,OTHER RECREATION CONCESSION SITE,38
39,7,BOATING,6
40,7,CAMPING,9
41,7,FISHING,11
42,7,PICKNICKING,20
43,7,RECREATIONAL VEHICLES,23
44,7,WATER SPORTS,25
45,8,BOATING,6
46,8,CAMPING,9
47,8,FISHING,11
48,8,HIKING,14
49,8,HUNTING,16
50,8,PICKNICKING,20
51,8,RECREATIONAL VEHICLES,23
52,8,WATER SPORTS,25
53,8,WILDLIFE VIEWING,26
54,9,BOATING,6
55,9,CAMPING,9
56,9,FISHING,11
57,9,HIKING,14
58,9,PICKNICKING,20
59,9,RECREATIONAL VEHICLES,23
60,9,WATER SPORTS,25
61,10,AUTO TOURING,4
62,10,BOATING,6
63,10,CLIMBING,7
64,10,CAMPING,9
65,10,INTERPRETIVE PROGRAMS,10
66,10,FISHING,11
67,10,HIKING,14
68,10,HUNTING,16
69,10,PICKNICKING,20
70,10,WINTER SPORTS,22
71,10,WILDLIFE VIEWING,26
72,11,BIKING,5
73,11,BOATING,6
74,11,HISTORIC & CULTURAL SITE,8
75,11,CAMPING,9
76,11,INTERPRETIVE PROGRAMS,10
77,11,FISHING,11
78,11,HIKING,14
79,11,HORSEBACK RIDING,15
80,11,PICKNICKING,20
81,11,RECREATIONAL VEHICLES,23
82,11,VISITOR CENTER,24
83,11,WATER SPORTS,25
84,11,WILDLIFE VIEWING,26
85,11,OTHER RECREATION CONCESSION SITE,38
86,11,ENVIRONMENTAL EDUCATION,103
87,12,BIKING,5
88,12,HIKING,14
89,12,HORSEBACK RIDING,15
90,13,AUTO TOURING,4
91,13,BIKING,5
92,13,BOATING,6
93,13,CAMPING,9
94,13,FISHING,11
95,13,HIKING,14
96,13,HUNTING,16
97,13,OFF HIGHWAY VEHICLE,18
98,13,PICKNICKING,20
99,13,RECREATIONAL VEHICLES,23
100,13,WATER SPORTS,25
101,13,WILDLIFE VIEWING,26
102,13,FISH HATCHERY,27
103,14,BOATING,6
104,14,CAMPING,9
105,14,FISHING,11
106,14,HUNTING,16
107,14,WATER SPORTS,25
108,15,BIKING,5
109,15,BOATING,6
110,15,CAMPING,9
111,15,FISHING,11
112,15,HIKING,14
113,15,PICKNICKING,20
114,15,WATER SPORTS,25
115,15,WILDLIFE VIEWING,26
116,16,BOATING,6
117,16,HISTORIC & CULTURAL SITE,8
118,16,CAMPING,9
119,16,INTERPRETIVE PROGRAMS,10
120,16,FISHING,11
121,16,PICKNICKING,20
122,16,WATER SPORTS,25
123,17,BIKING,5
124,17,BOATING,6
125,17,HISTORIC & CULTURAL SITE,8
126,17,CAMPING,9
127,17,INTERPRETIVE PROGRAMS,10
128,17,FISHING,11
129,17,HIKING,14
130,17,HORSEBACK RIDING,15
131,17,PICKNICKING,20
132,17,WINTER SPORTS,22
133,17,RECREATIONAL VEHICLES,23
134,17,VISITOR CENTER,24
135,17,WILDLIFE VIEWING,26
136,17,OTHER RECREATION CONCESSION SITE,38
137,17,HOTEL/LODGE/RESORT FS OWNED,40
138,17,ENVIRONMENTAL EDUCATION,103
139,18,CAMPING,9
140,18,FISHING,11
141,18,HIKING,14
142,18,HORSEBACK RIDING,15
143,18,PICKNICKING,20
144,18,RECREATIONAL VEHICLES,23
145,18,WATER SPORTS,25
146,19,BIKING,5
147,19,BOATING,6
148,19,CAMPING,9
149,19,INTERPRETIVE PROGRAMS,10
150,19,FISHING,11
151,19,HIKING,14
152,19,PICKNICKING,20
153,19,RECREATIONAL VEHICLES,23
154,19,WATER SPORTS,25
155,19,OTHER RECREATION CONCESSION SITE,38
156,19,ENVIRONMENTAL EDUCATION,103
157,20,BOATING,6
158,20,FISHING,11
159,20,PICKNICKING,20
160,21,AUTO TOURING,4
161,21,BIKING,5
162,21,BOATING,6
163,21,CAMPING,9
164,21,INTERPRETIVE PROGRAMS,10
165,21,FISHING,11
166,21,HIKING,14
167,21,HUNTING,16
168,21,PICKNICKING,20
169,21,RECREATIONAL VEHICLES,23
170,21,WATER SPORTS,25
171,21,WILDLIFE VIEWING,26
172,21,ENVIRONMENTAL EDUCATION,103
173,22,FISHING,11
174,22,HUNTING,16
175,22,PICKNICKING,20
176,22,WILDLIFE VIEWING,26
177,23,BOATING,6
178,23,HISTORIC & CULTURAL SITE,8
179,23,CAMPING,9
180,23,INTERPRETIVE PROGRAMS,10
181,23,FISHING,11
182,23,HIKING,14
183,23,HORSEBACK RIDING,15
184,23,HUNTING,16
185,23,PICKNICKING,20
186,23,RECREATIONAL VEHICLES,23
187,23,WATER SPORTS,25
188,23,WILDLIFE VIEWING,26
189,24,BIKING,5
190,24,BOATING,6
191,24,CLIMBING,7
192,24,HISTORIC & CULTURAL SITE,8
193,24,CAMPING,9
194,24,INTERPRETIVE PROGRAMS,10
195,24,FISHING,11
196,24,HIKING,14
197,24,HORSEBACK RIDING,15
198,24,HUNTING,16
199,24,PICKNICKING,20
200,24,RECREATIONAL VEHICLES,23
201,24,WATER SPORTS,25
202,24,WILDLIFE VIEWING,26
203,25,BIKING,5
204,25,BOATING,6
205,25,CAMPING,9
206,25,INTERPRETIVE PROGRAMS,10
207,25,FISHING,11
208,25,HIKING,14
209,25,HUNTING,16
210,25,PICKNICKING,20
211,25,RECREATIONAL VEHICLES,23
212,25,VISITOR CENTER,24
213,25,WATER SPORTS,25
214,25,WILDLIFE VIEWING,26
215,26,CAMPING,9
216,26,INTERPRETIVE PROGRAMS,10
217,26,WILDLIFE VIEWING,26
218,27,BOATING,6
219,27,CAMPING,9
220,27,HIKING,14
221,27,PICKNICKING,20
222,27,WATER SPORTS,25
223,27,PLAYGROUND PARK SPECIALIZED SPORT SITE,37
224,27,ENVIRONMENTAL EDUCATION,103
225,29,BIKING,5
226,29,BOATING,6
227,29,HISTORIC & CULTURAL SITE,8
228,29,INTERPRETIVE PROGRAMS,10
229,29,HIKING,14
230,29,VISITOR CENTER,24
231,29,WILDLIFE VIEWING,26
232,29,OTHER RECREATION CONCESSION SITE,38
233,29,ENVIRONMENTAL EDUCATION,103
234,30,BIKING,5
235,30,BOATING,6
236,30,CAMPING,9
237,30,FISHING,11
238,30,HIKING,14
239,30,HORSEBACK RIDING,15
240,30,PICKNICKING,20
241,30,WINTER SPORTS,22
242,30,RECREATIONAL VEHICLES,23
243,30,WATER SPORTS,25
244,31,BIKING,5
245,31,BOATING,6
246,31,CAMPING,9
247,31,INTERPRETIVE PROGRAMS,10
248,31,FISHING,11
249,31,HIKING,14
250,31,HORSEBACK RIDING,15
251,31,PICKNICKING,20
252,31,RECREATIONAL VEHICLES,23
253,31,VISITOR CENTER,24
254,31,WILDLIFE VIEWING,26
255,31,PLAYGROUND PARK SPECIALIZED SPORT SITE,37
256,31,OTHER RECREATION CONCESSION SITE,38
257,31,HOTEL/LODGE/RESORT FS OWNED,40
258,31,ENVIRONMENTAL EDUCATION,103
259,32,BIKING,5
260,32,BOATING,6
261,32,CAMPING,9
262,32,FISHING,11
263,32,HIKING,14
264,32,HUNTING,16
265,32,PICKNICKING,20
266,32,WINTER SPORTS,22
267,32,WATER SPORTS,25
268,33,BIKING,5
269,33,BOATING,6
270,33,FISHING,11
271,33,HIKING,14
272,33,HORSEBACK RIDING,15
273,33,PICKNICKING,20
274,33,RECREATIONAL VEHICLES,23
275,33,WATER SPORTS,25
276,33,PLAYGROUND PARK SPECIALIZED SPORT SITE,37
277,33,OTHER RECREATION CONCESSION SITE,38
278,34,BIKING,5
279,34,BOATING,6
280,34,CAMPING,9
281,34,FISHING,11
282,34,HIKING,14
283,34,HORSEBACK RIDING,15
284,34,HUNTING,16
285,34,PICKNICKING,20
286,34,RECREATIONAL VEHICLES,23
287,34,WATER SPORTS,25
288,34,WILDLIFE VIEWING,26
289,35,BOATING,6
290,35,HISTORIC & CULTURAL SITE,8
291,35,CAMPING,9
292,35,FISHING,11
293,35,HUNTING,16
294,35,PICKNICKING,20
295,35,WINTER SPORTS,22
296,35,RECREATIONAL VEHICLES,23
297,35,WATER SPORTS,25
298,35,OTHER RECREATION CONCESSION SITE,38
299,37,BIKING,5
300,37,BOATING,6
301,37,CAMPING,9
302,37,FISHING,11
303,37,HIKING,14
304,37,HUNTING,16
305,37,PICKNICKING,20
306,37,RECREATIONAL VEHICLES,23
307,37,WATER SPORTS,25
308,38,BOATING,6
309,38,CAMPING,9
310,38,FISHING,11
311,38,HIKING,14
312,38,HUNTING,16
313,38,PICKNICKING,20
314,38,WINTER SPORTS,22
315,38,RECREATIONAL VEHICLES,23
316,38,WATER SPORTS,25
317,40,BIKING,5
318,40,BOATING,6
319,40,CAMPING,9
320,40,INTERPRETIVE PROGRAMS,10
321,40,FISHING,11
322,40,HIKING,14
323,40,HUNTING,16
324,40,OFF HIGHWAY VEHICLE,18
325,40,PICKNICKING,20
326,40,RECREATIONAL VEHICLES,23
327,40,VISITOR CENTER,24
328,40,WATER SPORTS,25
329,40,WILDLIFE VIEWING,26
330,41,BOATING,6
331,41,FISHING,11
332,41,PICKNICKING,20
333,41,RECREATIONAL VEHICLES,23
334,42,BOATING,6
335,42,INTERPRETIVE PROGRAMS,10
336,42,FISHING,11
337,42,HORSEBACK RIDING,15
338,42,HUNTING,16
339,42,WINTER SPORTS,22
340,42,RECREATIONAL VEHICLES,23
341,42,VISITOR CENTER,24
342,42,WATER SPORTS,25
343,43,BIKING,5
344,43,BOATING,6
345,43,CAMPING,9
346,43,INTERPRETIVE PROGRAMS,10
347,43,FISHING,11
348,43,HIKING,14
349,43,HUNTING,16
350,43,PICKNICKING,20
351,43,RECREATIONAL VEHICLES,23
352,43,WATER SPORTS,25
353,43,WILDLIFE VIEWING,26
354,44,BIKING,5
355,44,CLIMBING,7
356,44,HISTORIC & CULTURAL SITE,8
357,44,CAMPING,9
358,44,INTERPRETIVE PROGRAMS,10
359,44,FISHING,11
360,44,HIKING,14
361,44,PICKNICKING,20
362,44,WILDLIFE VIEWING,26
363,45,BOATING,6
364,45,CAMPING,9
365,45,FISHING,11
366,45,HIKING,14
367,45,HUNTING,16
368,45,PICKNICKING,20
369,45,WINTER SPORTS,22
370,45,WATER SPORTS,25
371,45,FISH HATCHERY,27
372,46,BOATING,6
373,46,CAMPING,9
374,46,FISHING,11
375,46,HIKING,14
376,46,PICKNICKING,20
377,46,RECREATIONAL VEHICLES,23
378,46,WATER SPORTS,25
379,47,INTERPRETIVE PROGRAMS,10
380,47,WILDLIFE VIEWING,26
381,47,FISH HATCHERY,27
382,48,BOATING,6
383,48,CAMPING,9
384,48,FISHING,11
385,48,HUNTING,16
386,48,PICKNICKING,20
387,48,RECREATIONAL VEHICLES,23
388,48,WATER SPORTS,25
389,48,WILDLIFE VIEWING,26
390,49,BIKING,5
391,49,BOATING,6
392,49,CAMPING,9
393,49,INTERPRETIVE PROGRAMS,10
394,49,FISHING,11
395,49,HIKING,14
396,49,PICKNICKING,20
397,49,RECREATIONAL VEHICLES,23
398,49,VISITOR CENTER,24
399,49,WATER SPORTS,25
400,49,WILDLIFE VIEWING,26
401,49,OTHER RECREATION CONCESSION SITE,38
402,49,ENVIRONMENTAL EDUCATION,103
403,50,BIKING,5
404,50,BOATING,6
405,50,CAMPING,9
406,50,INTERPRETIVE PROGRAMS,10
407,50,FISHING,11
408,50,HIKING,14
409,50,HUNTING,16
410,50,PICKNICKING,20
411,50,WINTER SPORTS,22
412,50,RECREATIONAL VEHICLES,23
413,50,VISITOR CENTER,24
414,50,WATER SPORTS,25
415,51,CAMPING,9
416,51,FISHING,11
417,51,HIKING,14
418,51,PICKNICKING,20
419,51,RECREATIONAL VEHICLES,23
420,51,WILDLIFE VIEWING,26
421,51,OTHER RECREATION CONCESSION SITE,38
422,52,BIKING,5
423,52,CAMPING,9
424,52,INTERPRETIVE PROGRAMS,10
425,52,FISHING,11
426,52,HIKING,14
427,52,HUNTING,16
428,52,PICKNICKING,20
429,52,RECREATIONAL VEHICLES,23
430,52,WILDLIFE VIEWING,26
431,52,OTHER RECREATION CONCESSION SITE,38
432,52,ENVIRONMENTAL EDUCATION,103
433,53,WILDLIFE VIEWING,26
434,54,BIKING,5
435,54,BOATING,6
436,54,CAMPING,9
437,54,INTERPRETIVE PROGRAMS,10
438,54,FISHING,11
439,54,HIKING,14
440,54,HUNTING,16
441,54,PICKNICKING,20
442,54,WINTER SPORTS,22
443,54,RECREATIONAL VEHICLES,23
444,54,WATER SPORTS,25
445,54,HOTEL/LODGE/RESORT FS OWNED,40
446,54,ENVIRONMENTAL EDUCATION,103
447,55,BIKING,5
448,55,BOATING,6
449,55,CAMPING,9
450,55,FISHING,11
451,55,HIKING,14
452,55,HORSEBACK RIDING,15
453,55,OFF HIGHWAY VEHICLE,18
454,55,PICKNICKING,20
455,55,WINTER SPORTS,22
456,55,WATER SPORTS,25
457,55,WILDLIFE VIEWING,26
458,56,BIKING,5
459,56,BOATING,6
460,56,HISTORIC & CULTURAL SITE,8
461,56,CAMPING,9
462,56,INTERPRETIVE PROGRAMS,10
463,56,FISHING,11
464,56,HIKING,14
465,56,HORSEBACK RIDING,15
466,56,HUNTING,16
467,56,OFF HIGHWAY VEHICLE,18
468,56,PICKNICKING,20
469,56,WINTER SPORTS,22
470,56,RECREATIONAL VEHICLES,23
471,56,VISITOR CENTER,24
472,56,WATER SPORTS,25
473,56,WILDLIFE VIEWING,26
474,57,BOATING,6
475,57,CAMPING,9
476,57,FISHING,11
477,57,HUNTING,16
478,57,PICKNICKING,20
479,57,RECREATIONAL VEHICLES,23
480,57,WATER SPORTS,25
481,57,WILDLIFE VIEWING,26
482,58,BIKING,5
483,58,BOATING,6
484,58,CAMPING,9
485,58,FISHING,11
486,58,HIKING,14
487,58,HORSEBACK RIDING,15
488,58,HUNTING,16
489,58,PICKNICKING,20
490,58,RECREATIONAL VEHICLES,23
491,58,WILDLIFE VIEWING,26
492,59,BIKING,5
493,59,BOATING,6
494,59,CAMPING,9
495,59,FISHING,11
496,59,HIKING,14
497,59,HUNTING,16
498,59,PICKNICKING,20
499,59,WINTER SPORTS,22
500,59,RECREATIONAL VEHICLES,23
501,59,VISITOR CENTER,24
502,59,WATER SPORTS,25
503,59,WILDLIFE VIEWING,26
504,60,BOATING,6
505,60,CAMPING,9
506,60,FISHING,11
507,60,HUNTING,16
508,60,PICKNICKING,20
509,60,WINTER SPORTS,22
510,60,WATER SPORTS,25
511,60,WILDLIFE VIEWING,26
512,61,BOATING,6
513,61,CAMPING,9
514,61,FISHING,11
515,61,HIKING,14
516,61,HUNTING,16
517,61,PICKNICKING,20
518,61,RECREATIONAL VEHICLES,23
519,61,WILDLIFE VIEWING,26
520,62,BOATING,6
521,62,CAMPING,9
522,62,FISHING,11
523,62,PICKNICKING,20
524,63,BIKING,5
525,63,BOATING,6
526,63,CAMPING,9
527,63,FISHING,11
528,63,HIKING,14
529,63,HORSEBACK RIDING,15
530,63,HUNTING,16
531,63,PICKNICKING,20
532,63,WINTER SPORTS,22
533,63,RECREATIONAL VEHICLES,23
534,63,WATER SPORTS,25
535,63,WILDLIFE VIEWING,26
536,64,BOATING,6
537,64,CAMPING,9
538,64,FISHING,11
539,64,HIKING,14
540,64,HUNTING,16
541,64,PICKNICKING,20
542,64,WINTER SPORTS,22
543,64,RECREATIONAL VEHICLES,23
544,64,WATER SPORTS,25
545,64,WILDLIFE VIEWING,26
546,65,BIKING,5
547,65,BOATING,6
548,65,CAMPING,9
549,65,FISHING,11
550,65,HIKING,14
551,65,PICKNICKING,20
552,65,WINTER SPORTS,22
553,65,RECREATIONAL VEHICLES,23
554,65,WATER SPORTS,25
555,65,WILDLIFE VIEWING,26
556,65,OTHER RECREATION CONCESSION SITE,38
557,66,BIKING,5
558,66,BOATING,6
559,66,CAMPING,9
560,66,INTERPRETIVE PROGRAMS,10
561,66,FISHING,11
562,66,HIKING,14
563,66,PICKNICKING,20
564,66,RECREATIONAL VEHICLES,23
565,66,WATER SPORTS,25
566,66,WILDLIFE VIEWING,26
567,66,OTHER RECREATION CONCESSION SITE,38
568,66,ENVIRONMENTAL EDUCATION,103
569,67,BIKING,5
570,67,BOATING,6
571,67,FISHING,11
572,67,HIKING,14
573,67,PICKNICKING,20
574,67,WATER SPORTS,25
575,67,WILDLIFE VIEWING,26
576,67,PLAYGROUND PARK SPECIALIZED SPORT SITE,37
577,67,OTHER RECREATION CONCESSION SITE,38
578,68,BIKING,5
579,68,BOATING,6
580,68,CAMPING,9
581,68,FISHING,11
582,68,HIKING,14
583,68,PICKNICKING,20
584,68,RECREATIONAL VEHICLES,23
585,68,VISITOR CENTER,24
586,68,WILDLIFE VIEWING,26
587,68,OTHER RECREATION CONCESSION SITE,38
588,69,BOATING,6
589,69,CAMPING,9
590,69,FISHING,11
591,69,HUNTING,16
592,69,PICKNICKING,20
593,69,WINTER SPORTS,22
594,69,RECREATIONAL VEHICLES,23
595,69,WATER SPORTS,25
596,70,BOATING,6
597,70,CAMPING,9
598,70,FISHING,11
599,70,HUNTING,16
600,70,PICKNICKING,20
601,70,WINTER SPORTS,22
602,71,BOATING,6
603,71,CAMPING,9
604,71,FISHING,11
605,71,HUNTING,16
606,71,PICKNICKING,20
607,71,WILDLIFE VIEWING,26
608,72,BOATING,6
609,72,CAMPING,9
610,72,FISHING,11
611,72,HUNTING,16
612,72,PICKNICKING,20
613,72,WINTER SPORTS,22
614,72,RECREATIONAL VEHICLES,23
615,72,WATER SPORTS,25
616,72,WILDLIFE VIEWING,26
617,73,BOATING,6
618,73,CAMPING,9
619,73,FISHING,11
620,73,HUNTING,16
621,73,PICKNICKING,20
622,73,WINTER SPORTS,22
623,73,RECREATIONAL VEHICLES,23
624,73,VISITOR CENTER,24
625,73,WATER SPORTS,25
626,73,WILDLIFE VIEWING,26
627,73,FISH HATCHERY,27
628,74,BOATING,6
629,74,CAMPING,9
630,74,FISHING,11
631,74,HORSEBACK RIDING,15
632,74,HUNTING,16
633,74,PICKNICKING,20
634,74,WINTER SPORTS,22
635,74,WATER SPORTS,25
636,74,WILDLIFE VIEWING,26
637,75,BOATING,6
638,75,CAMPING,9
639,75,FISHING,11
640,75,HUNTING,16
641,75,PICKNICKING,20
642,75,WINTER SPORTS,22
643,75,RECREATIONAL VEHICLES,23
644,75,WATER SPORTS,25
645,75,WILDLIFE VIEWING,26
646,76,BOATING,6
647,76,CAMPING,9
648,76,FISHING,11
649,76,HUNTING,16
650,76,PICKNICKING,20
651,76,WINTER SPORTS,22
652,76,RECREATIONAL VEHICLES,23
653,76,WATER SPORTS,25
654,76,WILDLIFE VIEWING,26
655,76,OTHER RECREATION CONCESSION SITE,38
656,76,HOTEL/LODGE/RESORT FS OWNED,40
657,77,BOATING,6
658,77,CAMPING,9
659,77,FISHING,11
660,77,HUNTING,16
661,77,PICKNICKING,20
662,77,WINTER SPORTS,22
663,77,RECREATIONAL VEHICLES,23
664,77,WATER SPORTS,25
665,77,WILDLIFE VIEWING,26
666,77,OTHER RECREATION CONCESSION SITE,38
667,78,BOATING,6
668,78,CAMPING,9
669,78,FISHING,11
670,78,PICKNICKING,20
671,78,WATER SPORTS,25
672,78,WILDLIFE VIEWING,26
673,79,HORSEBACK RIDING,15
674,79,WILDLIFE VIEWING,26
675,80,BOATING,6
676,80,CAMPING,9
677,80,FISHING,11
678,80,HUNTING,16
679,80,PICKNICKING,20
680,80,RECREATIONAL VEHICLES,23
681,80,WATER SPORTS,25
682,81,BIKING,5
683,81,BOATING,6
684,81,CAMPING,9
685,81,FISHING,11
686,81,HUNTING,16
687,81,PICKNICKING,20
688,81,RECREATIONAL VEHICLES,23
689,81,VISITOR CENTER,24
690,81,WATER SPORTS,25
691,81,WILDLIFE VIEWING,26
692,82,WILDLIFE VIEWING,26
693,83,BOATING,6
694,83,CAMPING,9
695,83,FISHING,11
696,83,HIKING,14
697,83,HUNTING,16
698,83,PICKNICKING,20
699,83,RECREATIONAL VEHICLES,23
700,83,WATER SPORTS,25
701,83,WILDLIFE VIEWING,26
702,84,BOATING,6
703,84,FISHING,11
704,84,WILDLIFE VIEWING,26
705,85,BOATING,6
706,85,CAMPING,9
707,85,FISHING,11
708,85,HUNTING,16
709,85,PICKNICKING,20
710,85,WATER SPORTS,25
711,86,BOATING,6
712,86,CAMPING,9
713,86,FISHING,11
714,86,HUNTING,16
715,86,PICKNICKING,20
716,86,WATER SPORTS,25
717,87,BOATING,6
718,87,FISHING,11
719,88,CAMPING,9
720,88,FISHING,11
721,88,PICKNICKING,20
722,88,RECREATIONAL VEHICLES,23
723,88,WATER SPORTS,25
724,88,WILDLIFE VIEWING,26
725,89,BOATING,6
726,89,CAMPING,9
727,89,FISHING,11
728,89,PICKNICKING,20
729,89,WILDLIFE VIEWING,26
730,90,BIKING,5
731,90,BOATING,6
732,90,CAMPING,9
733,90,INTERPRETIVE PROGRAMS,10
734,90,FISHING,11
735,90,HIKING,14
736,90,HUNTING,16
737,90,PICKNICKING,20
738,90,RECREATIONAL VEHICLES,23
739,90,VISITOR CENTER,24
740,90,WATER SPORTS,25
741,90,WILDLIFE VIEWING,26
742,90,FISH HATCHERY,27
743,91,BOATING,6
744,91,CAMPING,9
745,91,FISHING,11
746,91,HIKING,14
747,91,HUNTING,16
748,91,PICKNICKING,20
749,91,RECREATIONAL VEHICLES,23
750,91,WATER SPORTS,25
751,92,BIKING,5
752,92,BOATING,6
753,92,CAMPING,9
754,92,FISHING,11
755,92,HIKING,14
756,92,PICKNICKING,20
757,92,WINTER SPORTS,22
758,92,RECREATIONAL VEHICLES,23
759,92,WATER SPORTS,25
760,93,BOATING,6
761,93,HISTORIC & CULTURAL SITE,8
762,93,CAMPING,9
763,93,INTERPRETIVE PROGRAMS,10
764,93,FISHING,11
765,93,HIKING,14
766,93,HUNTING,16
767,93,PICKNICKING,20
768,93,RECREATIONAL VEHICLES,23
769,93,VISITOR CENTER,24
770,93,WILDLIFE VIEWING,26
771,94,BOATING,6
772,94,CAMPING,9
773,94,FISHING,11
774,94,HUNTING,16
775,94,PICKNICKING,20
776,94,RECREATIONAL VEHICLES,23
777,94,WATER SPORTS,25
778,95,BIKING,5
779,95,BOATING,6
780,95,CAMPING,9
781,95,INTERPRETIVE PROGRAMS,10
782,95,FISHING,11
783,95,HIKING,14
784,95,HUNTING,16
785,95,PICKNICKING,20
786,95,RECREATIONAL VEHICLES,23
787,95,VISITOR CENTER,24
788,95,WATER SPORTS,25
789,95,WILDLIFE VIEWING,26
790,98,BOATING,6
791,98,CAMPING,9
792,98,FISHING,11
793,98,HIKING,14
794,98,PICKNICKING,20
795,98,WINTER SPORTS,22
796,98,VISITOR CENTER,24
797,98,WATER SPORTS,25
798,99,BOATING,6
799,99,CAMPING,9
800,99,FISHING,11
801,99,PICKNICKING,20
802,99,WINTER SPORTS,22
803,99,RECREATIONAL VEHICLES,23
804,99,VISITOR CENTER,24
805,99,WATER SPORTS,25
806,100,BIKING,5
807,100,BOATING,6
808,100,HISTORIC & CULTURAL SITE,8
809,100,CAMPING,9
810,100,INTERPRETIVE PROGRAMS,10
811,100,FISHING,11
812,100,HIKING,14
813,100,PICKNICKING,20
814,100,WINTER SPORTS,22
815,100,RECREATIONAL VEHICLES,23
816,100,VISITOR CENTER,24
817,100,WATER SPORTS,25
818,100,OTHER RECREATION CONCESSION SITE,38
819,100,HOTEL/LODGE/RESORT FS OWNED,40
820,100,ENVIRONMENTAL EDUCATION,103
821,101,BOATING,6
822,101,CAMPING,9
823,101,FISHING,11
824,101,HIKING,14
825,101,PICKNICKING,20
826,101,WINTER SPORTS,22
827,101,RECREATIONAL VEHICLES,23
828,101,VISITOR CENTER,24
829,101,WATER SPORTS,25
830,102,BIKING,5
831,102,BOATING,6
832,102,CAMPING,9
833,102,FISHING,11
834,102,HIKING,14
835,102,HUNTING,16
836,102,PICKNICKING,20
837,102,WINTER SPORTS,22
838,102,RECREATIONAL VEHICLES,23
839,102,VISITOR CENTER,24
840,102,WATER SPORTS,25
841,103,BIKING,5
842,103,BOATING,6
843,103,CAMPING,9
844,103,FISHING,11
845,103,HIKING,14
846,103,PICKNICKING,20
847,103,WINTER SPORTS,22
848,103,RECREATIONAL VEHICLES,23
849,103,VISITOR CENTER,24
850,103,WATER SPORTS,25
851,104,CAMPING,9
852,104,FISHING,11
853,104,HIKING,14
854,104,PICKNICKING,20
855,104,RECREATIONAL VEHICLES,23
856,104,VISITOR CENTER,24
857,104,WATER SPORTS,25
858,104,WILDLIFE VIEWING,26
859,105,BOATING,6
860,105,CAMPING,9
861,105,FISHING,11
862,105,HIKING,14
863,105,HUNTING,16
864,105,PICKNICKING,20
865,105,WINTER SPORTS,22
866,105,RECREATIONAL VEHICLES,23
867,105,WATER SPORTS,25
868,105,WILDLIFE VIEWING,26
869,105,OTHER RECREATION CONCESSION SITE,38
870,106,BOATING,6
871,106,CAMPING,9
872,106,FISHING,11
873,106,HUNTING,16
874,106,PICKNICKING,20
875,106,WINTER SPORTS,22
876,106,RECREATIONAL VEHICLES,23
877,106,WATER SPORTS,25
878,107,BOATING,6
879,107,HISTORIC & CULTURAL SITE,8
880,107,FISHING,11
881,107,HUNTING,16
882,107,WATER SPORTS,25
883,108,BOATING,6
884,108,CAMPING,9
885,108,FISHING,11
886,108,PICKNICKING,20
887,108,RECREATIONAL VEHICLES,23
888,108,WATER SPORTS,25
889,109,BIKING,5
890,109,BOATING,6
891,109,CAMPING,9
892,109,INTERPRETIVE PROGRAMS,10
893,109,FISHING,11
894,109,HIKING,14
895,109,PICKNICKING,20
896,109,WINTER SPORTS,22
897,109,RECREATIONAL VEHICLES,23
898,109,WATER SPORTS,25
899,109,PLAYGROUND PARK SPECIALIZED SPORT SITE,37
900,109,OTHER RECREATION CONCESSION SITE,38
901,109,ENVIRONMENTAL EDUCATION,103
902,110,BOATING,6
903,110,CAMPING,9
904,110,FISHING,11
905,110,HIKING,14
906,110,HUNTING,16
907,110,PICKNICKING,20
908,110,RECREATIONAL VEHICLES,23
909,110,WATER SPORTS,25
910,111,BOATING,6
911,111,CAMPING,9
912,111,FISHING,11
913,111,HIKING,14
914,111,HUNTING,16
915,111,PICKNICKING,20
916,111,RECREATIONAL VEHICLES,23
917,111,WATER SPORTS,25
918,112,BOATING,6
919,112,INTERPRETIVE PROGRAMS,10
920,112,FISHING,11
921,112,HUNTING,16
922,112,PICKNICKING,20
923,112,WATER SPORTS,25
924,112,WILDLIFE VIEWING,26
925,112,ENVIRONMENTAL EDUCATION,103
926,113,BOATING,6
927,113,CAMPING,9
928,113,FISHING,11
929,113,PICKNICKING,20
930,113,WATER SPORTS,25
931,114,INTERPRETIVE PROGRAMS,10
932,114,HUNTING,16
933,114,VISITOR CENTER,24
934,115,BOATING,6
935,115,CAMPING,9
